CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2022-12-31,,,
,,,,,2022-01-17,,,
,,,,,2022-02-21,,,
,,,,,2022-04-15,,,
,,,,,2022-06-20,,,
,,,,,2022-07-04,,,
,,,,,2022-09-05,,,
,,,,,2022-10-10,,,
,,,,,2022-11-11,,,
,,,,,2022-11-24,,,
,,,,,2022-12-26,,,
,,,,,2023-01-07,,,
,,,,,2023-01-08,,,
,,,,,2023-01-14,,,
,,,,,2023-01-15,,,
,,,,,2023-01-21,,,
,,,,,2023-01-22,,,
,,,,,2023-01-28,,,
,,,,,2023-01-29,,,
,,,,,2023-02-04,,,
,,,,,2023-02-05,,,
,,,,,2023-02-11,,,
,,,,,2023-02-12,,,
,,,,,2023-02-18,,,
,,,,,2023-02-19,,,
,,,,,2023-02-25,,,
,,,,,2023-02-26,,,
,,,,,2023-03-04,,,
,,,,,2023-03-05,,,
,,,,,2023-03-11,,,
,,,,,2023-03-12,,,
,,,,,2023-03-18,,,
,,,,,2023-03-19,,,
,,,,,2023-03-25,,,
,,,,,2023-03-26,,,
,,,,,2023-04-01,,,
,,,,,2023-04-02,,,
,,,,,2023-04-08,,,
,,,,,2023-04-09,,,
,,,,,2023-04-15,,,
,,,,,2023-04-16,,,
,,,,,2023-04-22,,,
,,,,,2023-04-23,,,
,,,,,2023-04-29,,,
,,,,,2023-04-30,,,
,,,,,2023-05-06,,,
,,,,,2023-05-07,,,
,,,,,2023-05-13,,,
,,,,,2023-05-14,,,
,,,,,2023-05-20,,,
,,,,,2023-05-21,,,
,,,,,2023-05-27,,,
,,,,,2023-05-28,,,
,,,,,2023-06-03,,,
,,,,,2023-06-04,,,
,,,,,2023-06-10,,,
,,,,,2023-06-11,,,
,,,,,2023-06-17,,,
,,,,,2023-06-18,,,
,,,,,2023-06-24,,,
,,,,,2023-06-25,,,
,,,,,2023-07-01,,,
,,,,,2023-07-02,,,
,,,,,2023-07-08,,,
,,,,,2023-07-09,,,
,,,,,2023-07-15,,,
,,,,,2023-07-16,,,
,,,,,2023-07-22,,,
,,,,,2023-07-23,,,
,,,,,2023-07-29,,,
,,,,,2023-07-30,,,
,,,,,2023-08-05,,,
,,,,,2023-08-06,,,
,,,,,2023-08-12,,,
,,,,,2023-08-13,,,
,,,,,2023-08-19,,,
,,,,,2023-08-20,,,
,,,,,2023-08-26,,,
,,,,,2023-08-27,,,
,,,,,2023-09-02,,,
,,,,,2023-09-03,,,
,,,,,2023-09-09,,,
,,,,,2023-09-10,,,
,,,,,2023-09-16,,,
,,,,,2023-09-17,,,
,,,,,2023-09-23,,,
,,,,,2023-09-24,,,
,,,,,2023-09-30,,,
,,,,,2023-10-01,,,
,,,,,2023-10-07,,,
,,,,,2023-10-08,,,
,,,,,2023-10-14,,,
,,,,,2023-10-15,,,
,,,,,2023-10-21,,,
,,,,,2023-10-22,,,
,,,,,2023-10-28,,,
,,,,,2023-10-29,,,
,,,,,2023-11-04,,,
,,,,,2023-11-05,,,
,,,,,2023-11-11,,,
,,,,,2023-11-12,,,
,,,,,2023-11-18,,,
,,,,,2023-11-19,,,
,,,,,2023-11-25,,,
,,,,,2023-11-26,,,
,,,,,2023-12-02,,,
,,,,,2023-12-03,,,
,,,,,2023-12-09,,,
,,,,,2023-12-10,,,
,,,,,2023-12-16,,,
,,,,,2023-12-17,,,
,,,,,2023-12-23,,,
,,,,,2023-12-24,,,
,,,,,2023-12-30,,,
,,,,,2023-12-31,,,
,,,,,2024-01-06,,,
,,,,,2024-01-07,,,
,,,,,2024-01-13,,,
,,,,,2024-01-14,,,
,,,,,2024-01-20,,,
,,,,,2024-01-21,,,
,,,,,2024-01-27,,,
,,,,,2024-01-28,,,
,,,,,2024-02-03,,,
,,,,,2024-02-04,,,
,,,,,2024-02-10,,,
,,,,,2024-02-11,,,
,,,,,2024-02-17,,,
,,,,,2024-02-18,,,
,,,,,2024-02-24,,,
,,,,,2024-02-25,,,
,,,,,2024-03-02,,,
,,,,,2024-03-03,,,
,,,,,2024-03-09,,,
,,,,,2024-03-10,,,
,,,,,2024-03-16,,,
,,,,,2024-03-17,,,
,,,,,2024-03-23,,,
,,,,,2024-03-24,,,
,,,,,2024-03-30,,,
,,,,,2024-03-31,,,
,,,,,2024-04-06,,,
,,,,,2024-04-07,,,
,,,,,2024-04-13,,,
,,,,,2024-04-14,,,
,,,,,2024-04-20,,,
,,,,,2024-04-21,,,
,,,,,2024-04-27,,,
,,,,,2024-04-28,,,
,,,,,2024-05-04,,,
,,,,,2024-05-05,,,
,,,,,2024-05-11,,,
,,,,,2024-05-12,,,
,,,,,2024-05-18,,,
,,,,,2024-05-19,,,
,,,,,2024-05-25,,,
,,,,,2024-05-26,,,
,,,,,2024-06-01,,,
,,,,,2024-06-02,,,
,,,,,2024-06-08,,,
,,,,,2024-06-09,,,
,,,,,2024-06-15,,,
,,,,,2024-06-16,,,
,,,,,2024-06-22,,,
,,,,,2024-06-23,,,
,,,,,2024-06-29,,,
,,,,,2024-06-30,,,
,,,,,2024-07-06,,,
,,,,,2024-07-07,,,
,,,,,2024-07-13,,,
,,,,,2024-07-14,,,
,,,,,2024-07-20,,,
,,,,,2024-07-21,,,
,,,,,2024-07-27,,,
,,,,,2024-07-28,,,
,,,,,2024-08-03,,,
,,,,,2024-08-04,,,
,,,,,2024-08-10,,,
,,,,,2024-08-11,,,
,,,,,2024-08-17,,,
,,,,,2024-08-18,,,
,,,,,2024-08-24,,,
,,,,,2024-08-25,,,
,,,,,2024-08-31,,,
,,,,,2024-09-01,,,
,,,,,2024-09-07,,,
,,,,,2024-09-08,,,
,,,,,2024-09-14,,,
,,,,,2024-09-15,,,
,,,,,2024-09-21,,,
,,,,,2024-09-22,,,
,,,,,2024-09-28,,,
,,,,,2024-09-29,,,
,,,,,2024-10-05,,,
,,,,,2024-10-06,,,
,,,,,2024-10-12,,,
,,,,,2024-10-13,,,
,,,,,2024-10-19,,,
,,,,,2024-10-20,,,
,,,,,2024-10-26,,,
,,,,,2024-10-27,,,
,,,,,2024-11-02,,,
,,,,,2024-11-03,,,
,,,,,2024-11-09,,,
,,,,,2024-11-10,,,
,,,,,2024-11-16,,,
,,,,,2024-11-17,,,
,,,,,2024-11-23,,,
,,,,,2024-11-24,,,
,,,,,2024-11-30,,,
,,,,,2024-12-01,,,
,,,,,2024-12-07,,,
,,,,,2024-12-08,,,
,,,,,2024-12-14,,,
,,,,,2024-12-15,,,
,,,,,2024-12-21,,,
,,,,,2024-12-22,,,
,,,,,2024-12-28,,,
,,,,,2024-12-29,,,
,,,,,2023-01-01,,,
,,,,,2023-01-02,,,
,,,,,2023-01-16,,,
,,,,,2023-02-20,,,
,,,,,2023-04-07,,,
,,,,,2023-05-29,,,
,,,,,2023-06-19,,,
,,,,,2023-07-04,,,
,,,,,2023-09-04,,,
,,,,,2023-10-09,,,
,,,,,2023-11-23,,,
,,,,,2023-12-25,,,
,,,,,2024-02-19,,,
,,,,,2024-05-27,,,
,,,,,2024-06-19,,,
,,,,,2024-07-04,,,
,,,,,2024-09-02,,,
,,,,,2024-10-14,,,
,,,,,2024-11-11,,,
,,,,,2024-11-28,,,
,,,,,2024-12-25,,,
,US Govt,US Govt securities mkt holiday (SIFMA),2,192,2022-01-17,,,
,,,,,2022-02-21,,,
,,,,,2022-04-15,,,
,,,,,2022-05-30,,,
,,,,,2022-06-20,,,
,,,,,2022-07-04,,,
,,,,,2022-09-05,,,
,,,,,2022-10-10,,,
,,,,,2022-11-11,,,
,,,,,2022-11-24,,,
,,,,,2022-12-26,,,
,,,,,2023-01-02,,,
,,,,,2023-01-16,,,
,,,,,2023-02-20,,,
,,,,,2023-05-29,,,
,,,,,2023-06-19,,,
,,,,,2023-07-04,,,
,,,,,2023-09-04,,,
,,,,,2023-10-09,,,
,,,,,2023-11-23,,,
,,,,,2023-12-25,,,
,,,,,2023-04-07,,,
,,,,,2024-01-01,,,
,,,,,2024-01-15,,,
,,,,,2024-02-19,,,
,,,,,2024-03-29,,,
,,,,,2024-05-27,,,
,,,,,2024-06-19,,,
,,,,,2024-07-04,,,
,,,,,2024-09-02,,,
,,,,,2024-10-14,,,
,,,,,2024-11-11,,,
,,,,,2024-11-28,,,
,,,,,2024-12-25,,,
,,,,,2025-01-01,,,
,VAS Accounting VN,,,,,,,
,Vietnam,Vietnam,,,2018-01-01,,,
,,,,,2021-01-01,,,
,,,,,2018-02-14,,,
,,,,,2021-04-30,,,
,,,,,2021-05-01,,,
,,,,,2021-09-02,,,
,,,,,2022-01-01,,,
,,,,,2022-04-30,,,
,,,,,2022-05-01,,,
,,,,,2022-09-02,,,
,,,,,2018-02-16,,,
,,,,,2018-09-02,,,
,,,,,2018-02-15,,,
,,,,,2018-02-19,,,
,,,,,2018-02-20,,,
,,,,,2018-02-21,,,
,,,,,2018-02-22,,,
,,,,,2018-04-25,,,
,,,,,2018-04-30,,,
,,,,,2018-05-01,,,
,,,,,2019-01-01,,,
,,,,,2019-04-30,,,
,,,,,2019-05-01,,,
,,,,,2019-09-02,,,
,,,,,2020-01-01,,,
,,,,,2020-04-30,,,
,,,,,2020-05-01,,,
,,,,,2020-09-02,,,
,,,,,2022-01-02,,,
,,,,,2022-01-08,,,
,,,,,2022-01-09,,,
,,,,,2022-01-15,,,
,,,,,2022-01-16,,,
,,,,,2022-01-22,,,
,,,,,2022-01-23,,,
,,,,,2022-01-29,,,
,,,,,2022-01-30,,,
,,,,,2022-02-05,,,
,,,,,2022-02-06,,,
,,,,,2022-02-12,,,
,,,,,2022-02-13,,,
,,,,,2022-02-19,,,
,,,,,2022-02-20,,,
,,,,,2022-02-26,,,
,,,,,2022-02-27,,,
,,,,,2022-03-05,,,
,,,,,2022-03-06,,,
,,,,,2022-03-12,,,
,,,,,2022-03-13,,,
,,,,,2022-03-19,,,
,,,,,2022-03-20,,,
,,,,,2022-03-26,,,
,,,,,2022-03-27,,,
,,,,,2022-04-02,,,
,,,,,2022-04-03,,,
,,,,,2022-04-09,,,
,,,,,2022-04-10,,,
,,,,,2022-04-16,,,
,,,,,2022-04-17,,,
,,,,,2022-04-23,,,
,,,,,2022-04-24,,,
,,,,,2022-05-07,,,
,,,,,2022-05-08,,,
,,,,,2022-05-14,,,
,,,,,2022-05-15,,,
,,,,,2022-05-21,,,
,,,,,2022-05-22,,,
,,,,,2022-05-28,,,
,,,,,2022-05-29,,,
,,,,,2022-06-04,,,
,,,,,2022-06-05,,,
,,,,,2022-06-11,,,
,,,,,2022-06-12,,,
,,,,,2022-06-18,,,
,,,,,2022-06-19,,,
,,,,,2022-06-25,,,
,,,,,2022-06-26,,,
,,,,,2022-07-02,,,
,,,,,2022-07-03,,,
,,,,,2022-07-09,,,
,,,,,2022-07-10,,,
,,,,,2022-07-16,,,
,,,,,2022-07-17,,,
,,,,,2022-07-23,,,
,,,,,2022-07-24,,,
,,,,,2022-07-30,,,
,,,,,2022-07-31,,,
,,,,,2022-08-06,,,
,,,,,2022-08-07,,,
,,,,,2022-08-13,,,
,,,,,2022-08-14,,,
,,,,,2022-08-20,,,
,,,,,2022-08-21,,,
,,,,,2022-08-27,,,
,,,,,2022-08-28,,,
,,,,,2022-09-03,,,
,,,,,2022-09-04,,,
,,,,,2022-09-10,,,
,,,,,2022-09-11,,,
,,,,,2022-09-17,,,
,,,,,2022-09-18,,,
,,,,,2022-09-24,,,
,,,,,2022-09-25,,,
,,,,,2022-10-01,,,
,,,,,2022-10-02,,,
,,,,,2022-10-08,,,
,,,,,2022-10-09,,,
,,,,,2022-10-15,,,
,,,,,2022-10-16,,,
,,,,,2022-10-22,,,
,,,,,2022-10-23,,,
,,,,,2022-10-29,,,
,,,,,2022-10-30,,,
,,,,,2022-11-05,,,
,,,,,2022-11-06,,,
,,,,,2022-11-12,,,
,,,,,2022-11-13,,,
,,,,,2022-11-19,,,
,,,,,2022-11-20,,,
,,,,,2022-11-26,,,
,,,,,2022-11-27,,,
,,,,,2022-12-03,,,
,,,,,2022-12-04,,,
,,,,,2022-12-10,,,
,,,,,2022-12-11,,,
,,,,,2022-12-17,,,
,,,,,2022-12-18,,,
,,,,,2022-12-24,,,
,,,,,2022-12-25,,,
,,,,,2022-12-31,,,
,,,,,2022-01-03,,,
,,,,,2022-01-31,,,
,,,,,2022-02-01,,,
,,,,,2022-02-02,,,
,,,,,2022-02-03,,,
,,,,,2022-02-04,,,
,,,,,2022-04-11,,,
,,,,,2022-05-02,,,
,,,,,2022-05-03,,,
,,,,,2022-09-01,,,
,,,,,2023-01-07,,,
,,,,,2023-01-08,,,
,,,,,2023-01-14,,,
,,,,,2023-01-15,,,
,,,,,2023-01-21,,,
,,,,,2023-01-22,,,
,,,,,2023-01-28,,,
,,,,,2023-01-29,,,
,,,,,2023-02-04,,,
,,,,,2023-02-05,,,
,,,,,2023-02-11,,,
,,,,,2023-02-12,,,
,,,,,2023-02-18,,,
,,,,,2023-02-19,,,
,,,,,2023-02-25,,,
,,,,,2023-02-26,,,
,,,,,2023-03-04,,,
,,,,,2023-03-05,,,
,,,,,2023-03-11,,,
,,,,,2023-03-12,,,
,,,,,2023-03-18,,,
,,,,,2023-03-19,,,
,,,,,2023-03-25,,,
,,,,,2023-03-26,,,
,,,,,2023-04-01,,,
,,,,,2023-04-02,,,
,,,,,2023-04-08,,,
,,,,,2023-04-09,,,
,,,,,2023-04-15,,,
,,,,,2023-04-16,,,
,,,,,2023-04-22,,,
,,,,,2023-04-23,,,
,,,,,2023-04-29,,,
,,,,,2023-04-30,,,
,,,,,2023-05-06,,,
,,,,,2023-05-07,,,
,,,,,2023-05-13,,,
,,,,,2023-05-14,,,
,,,,,2023-05-20,,,
,,,,,2023-05-21,,,
,,,,,2023-05-27,,,
,,,,,2023-05-28,,,
,,,,,2023-06-03,,,
,,,,,2023-06-04,,,
,,,,,2023-06-10,,,
,,,,,2023-06-11,,,
,,,,,2023-06-17,,,
,,,,,2023-06-18,,,
,,,,,2023-06-24,,,
,,,,,2023-06-25,,,
,,,,,2023-07-01,,,
,,,,,2023-07-02,,,
,,,,,2023-07-08,,,
,,,,,2023-07-09,,,
,,,,,2023-07-15,,,
,,,,,2023-07-16,,,
,,,,,2023-07-22,,,
,,,,,2023-07-23,,,
,,,,,2023-07-29,,,
,,,,,2023-07-30,,,
,,,,,2023-08-05,,,
,,,,,2023-08-06,,,
,,,,,2023-08-12,,,
,,,,,2023-08-13,,,
,,,,,2023-08-19,,,
,,,,,2023-08-20,,,
,,,,,2023-08-26,,,
,,,,,2023-08-27,,,
,,,,,2023-09-02,,,
,,,,,2023-09-03,,,
,,,,,2023-09-09,,,
,,,,,2023-09-10,,,
,,,,,2023-09-16,,,
,,,,,2023-09-17,,,
,,,,,2023-09-23,,,
,,,,,2023-09-24,,,
,,,,,2023-09-30,,,
,,,,,2023-10-01,,,
,,,,,2023-10-07,,,
,,,,,2023-10-08,,,
,,,,,2023-10-14,,,
,,,,,2023-10-15,,,
,,,,,2023-10-21,,,
,,,,,2023-10-22,,,
,,,,,2023-10-28,,,
,,,,,2023-10-29,,,
,,,,,2023-11-04,,,
,,,,,2023-11-05,,,
,,,,,2023-11-11,,,
,,,,,2023-11-12,,,
,,,,,2023-11-18,,,
,,,,,2023-11-19,,,
,,,,,2023-11-25,,,
,,,,,2023-11-26,,,
,,,,,2023-12-02,,,
,,,,,2023-12-03,,,
,,,,,2023-12-09,,,
,,,,,2023-12-10,,,
,,,,,2023-12-16,,,
,,,,,2023-12-17,,,
,,,,,2023-12-23,,,
,,,,,2023-12-24,,,
,,,,,2023-12-30,,,
,,,,,2023-12-31,,,
,,,,,2024-01-06,,,
,,,,,2024-01-07,,,
,,,,,2024-01-13,,,
,,,,,2024-01-14,,,
,,,,,2024-01-20,,,
,,,,,2024-01-21,,,
,,,,,2024-01-27,,,
,,,,,2024-01-28,,,
,,,,,2024-02-03,,,
,,,,,2024-02-04,,,
,,,,,2024-02-10,,,
,,,,,2024-02-11,,,
,,,,,2024-02-17,,,
,,,,,2024-02-18,,,
,,,,,2024-02-24,,,
,,,,,2024-02-25,,,
,,,,,2024-03-02,,,
,,,,,2024-03-03,,,
,,,,,2024-03-09,,,
,,,,,2024-03-10,,,
,,,,,2024-03-16,,,
,,,,,2024-03-17,,,
,,,,,2024-03-23,,,
,,,,,2024-03-24,,,
,,,,,2024-03-30,,,
,,,,,2024-03-31,,,
,,,,,2024-04-06,,,
,,,,,2024-04-07,,,
,,,,,2024-04-13,,,
,,,,,2024-04-14,,,
,,,,,2024-04-20,,,
,,,,,2024-04-21,,,
,,,,,2024-04-27,,,
,,,,,2024-04-28,,,
,,,,,2024-05-05,,,
,,,,,2024-05-11,,,
,,,,,2024-05-12,,,
,,,,,2024-05-18,,,
,,,,,2024-05-19,,,
,,,,,2024-05-25,,,
,,,,,2024-05-26,,,
,,,,,2024-06-01,,,
,,,,,2024-06-02,,,
,,,,,2024-06-08,,,
,,,,,2024-06-09,,,
,,,,,2024-06-15,,,
,,,,,2024-06-16,,,
,,,,,2024-06-22,,,
,,,,,2024-06-23,,,
,,,,,2024-06-29,,,
,,,,,2024-06-30,,,
,,,,,2024-07-06,,,
,,,,,2024-07-07,,,
,,,,,2024-07-13,,,
,,,,,2024-07-14,,,
,,,,,2024-07-20,,,
,,,,,2024-07-21,,,
,,,,,2024-07-27,,,
,,,,,2024-07-28,,,
,,,,,2024-08-03,,,
,,,,,2024-08-04,,,
,,,,,2024-08-10,,,
,,,,,2024-08-11,,,
,,,,,2024-08-17,,,
,,,,,2024-08-18,,,
,,,,,2024-08-24,,,
,,,,,2024-08-25,,,
,,,,,2024-08-31,,,
,,,,,2024-09-01,,,
,,,,,2024-09-07,,,
,,,,,2024-09-08,,,
,,,,,2024-09-14,,,
,,,,,2024-09-15,,,
,,,,,2024-09-21,,,
,,,,,2024-09-22,,,
,,,,,2024-09-28,,,
,,,,,2024-09-29,,,
,,,,,2024-10-05,,,
,,,,,2024-10-06,,,
,,,,,2024-10-12,,,
,,,,,2024-10-13,,,
,,,,,2024-10-19,,,
,,,,,2024-10-20,,,
,,,,,2024-10-26,,,
,,,,,2024-10-27,,,
,,,,,2024-11-02,,,
,,,,,2024-11-03,,,
,,,,,2024-11-09,,,
,,,,,2024-11-10,,,
,,,,,2024-11-16,,,
,,,,,2024-11-17,,,
,,,,,2024-11-23,,,
,,,,,2024-11-24,,,
,,,,,2024-11-30,,,
,,,,,2024-12-01,,,
,,,,,2024-12-07,,,
,,,,,2024-12-08,,,
,,,,,2024-12-14,,,
,,,,,2024-12-15,,,
,,,,,2024-12-21,,,
,,,,,2024-12-22,,,
,,,,,2024-12-28,,,
,,,,,2024-12-29,,,
,,,,,2024-01-01,,,
,,,,,2023-01-01,,,
,,,,,2021-01-02,,,
,,,,,2021-01-03,,,
,,,,,2021-01-09,,,
,,,,,2021-01-10,,,
,,,,,2021-01-16,,,
,,,,,2021-01-17,,,
,,,,,2021-01-23,,,
,,,,,2021-01-24,,,
,,,,,2021-01-30,,,
,,,,,2021-01-31,,,
,,,,,2021-02-06,,,
,,,,,2021-02-07,,,
,,,,,2021-02-13,,,
,,,,,2021-02-14,,,
,,,,,2021-02-20,,,
,,,,,2021-02-21,,,
,,,,,2021-02-27,,,
,,,,,2021-02-28,,,
,,,,,2021-03-06,,,
,,,,,2021-03-07,,,
,,,,,2021-03-13,,,
,,,,,2021-03-14,,,
,,,,,2021-03-20,,,
,,,,,2021-03-21,,,
,,,,,2021-03-27,,,
,,,,,2021-03-28,,,
,,,,,2021-04-03,,,
,,,,,2021-04-04,,,
,,,,,2021-04-10,,,
,,,,,2021-04-11,,,
,,,,,2021-04-17,,,
,,,,,2021-04-18,,,
,,,,,2021-04-24,,,
,,,,,2021-04-25,,,
,,,,,2021-05-02,,,
,,,,,2021-05-08,,,
,,,,,2021-05-09,,,
,,,,,2021-05-15,,,
,,,,,2021-05-16,,,
,,,,,2021-05-22,,,
,,,,,2021-05-23,,,
,,,,,2021-05-29,,,
,,,,,2021-05-30,,,
,,,,,2021-06-05,,,
,,,,,2021-06-06,,,
,,,,,2021-06-12,,,
,,,,,2021-06-13,,,
,,,,,2021-06-19,,,
,,,,,2021-06-20,,,
,,,,,2021-06-26,,,
,,,,,2021-06-27,,,
,,,,,2021-07-03,,,
,,,,,2021-07-04,,,
,,,,,2021-07-10,,,
,,,,,2021-07-11,,,
,,,,,2021-07-17,,,
,,,,,2021-07-18,,,
,,,,,2021-07-24,,,
,,,,,2021-07-25,,,
,,,,,2021-07-31,,,
,,,,,2021-08-01,,,
,,,,,2021-08-07,,,
,,,,,2021-08-08,,,
,,,,,2021-08-14,,,
,,,,,2021-08-15,,,
,,,,,2021-08-21,,,
,,,,,2021-08-22,,,
,,,,,2021-08-28,,,
,,,,,2021-08-29,,,
,,,,,2021-09-04,,,
,,,,,2021-09-05,,,
,,,,,2021-09-11,,,
,,,,,2021-09-12,,,
,,,,,2021-09-18,,,
,,,,,2021-09-19,,,
,,,,,2021-09-25,,,
,,,,,2021-09-26,,,
,,,,,2021-10-02,,,
,,,,,2021-10-03,,,
,,,,,2021-10-09,,,
,,,,,2021-10-10,,,
,,,,,2021-10-16,,,
,,,,,2021-10-17,,,
,,,,,2021-10-23,,,
,,,,,2021-10-24,,,
,,,,,2021-10-30,,,
,,,,,2021-10-31,,,
,,,,,2021-11-06,,,
,,,,,2021-11-07,,,
,,,,,2021-11-13,,,
,,,,,2021-11-14,,,
,,,,,2021-11-20,,,
,,,,,2021-11-21,,,
,,,,,2021-11-27,,,
,,,,,2021-11-28,,,
,,,,,2021-12-04,,,
,,,,,2021-12-05,,,
,,,,,2021-12-11,,,
,,,,,2021-12-12,,,
,,,,,2021-12-18,,,
,,,,,2021-12-19,,,
,,,,,2021-12-25,,,
,,,,,2021-12-26,,,
,,,,,2021-02-10,,,
,,,,,2021-02-11,,,
,,,,,2021-02-12,,,
,,,,,2021-02-17,,,
,,,,,2021-02-15,,,
,,,,,2021-02-16,,,
,,,,,2021-04-21,,,
,,,,,2021-05-03,,,
,,,,,2021-09-03,,,
,,,,,2023-01-02,,,
,,,,,2023-01-20,,,
,,,,,2023-01-23,,,
,,,,,2023-01-24,,,
,,,,,2023-01-25,,,
,,,,,2023-01-26,,,
,,,,,2023-05-01,,,
,,,,,2023-05-02,,,
,,,,,2023-05-03,,,
,,,,,2023-09-01,,,
,,,,,2023-09-04,,,
,,,,,2019-01-06,,,
,,,,,2019-01-12,,,
,,,,,2019-01-13,,,
,,,,,2019-01-19,,,
,,,,,2019-01-20,,,
,,,,,2019-01-26,,,
,,,,,2019-01-27,,,
,,,,,2019-02-02,,,
,,,,,2019-02-03,,,
,,,,,2019-02-09,,,
,,,,,2019-02-10,,,
,,,,,2019-02-16,,,
,,,,,2019-02-17,,,
,,,,,2019-02-23,,,
,,,,,2019-02-24,,,
,,,,,2019-03-02,,,
,,,,,2019-03-03,,,
,,,,,2019-03-09,,,
,,,,,2019-03-10,,,
,,,,,2019-03-16,,,
,,,,,2019-03-17,,,
,,,,,2019-03-23,,,
,,,,,2019-03-24,,,
,,,,,2019-03-30,,,
,,,,,2019-03-31,,,
,,,,,2019-04-06,,,
,,,,,2019-04-07,,,
,,,,,2019-04-13,,,
,,,,,2019-04-14,,,
,,,,,2019-04-20,,,
,,,,,2019-04-21,,,
,,,,,2019-04-27,,,
,,,,,2019-04-28,,,
,,,,,2019-05-05,,,
,,,,,2019-05-11,,,
,,,,,2019-05-12,,,
,,,,,2019-05-18,,,
,,,,,2019-05-19,,,
,,,,,2019-05-25,,,
,,,,,2019-05-26,,,
,,,,,2019-06-01,,,
,,,,,2019-06-02,,,
,,,,,2019-06-08,,,
,,,,,2019-06-09,,,
,,,,,2019-06-15,,,
,,,,,2019-06-16,,,
,,,,,2019-06-22,,,
,,,,,2019-06-23,,,
,,,,,2019-06-29,,,
,,,,,2019-06-30,,,
,,,,,2019-07-06,,,
,,,,,2019-07-07,,,
,,,,,2019-07-13,,,
,,,,,2019-07-14,,,
,,,,,2019-07-20,,,
,,,,,2019-07-21,,,
,,,,,2019-07-27,,,
,,,,,2019-07-28,,,
,,,,,2019-08-03,,,
,,,,,2019-08-04,,,
,,,,,2019-08-10,,,
,,,,,2019-08-11,,,
,,,,,2019-08-17,,,
,,,,,2019-08-18,,,
,,,,,2019-08-24,,,
,,,,,2019-08-25,,,
,,,,,2019-08-31,,,
,,,,,2019-09-01,,,
,,,,,2019-09-07,,,
,,,,,2019-09-08,,,
,,,,,2019-09-14,,,
,,,,,2019-09-15,,,
,,,,,2019-09-21,,,
,,,,,2019-09-22,,,
,,,,,2019-09-28,,,
,,,,,2019-09-29,,,
,,,,,2019-10-05,,,
,,,,,2019-10-06,,,
,,,,,2019-10-12,,,
,,,,,2019-10-13,,,
,,,,,2019-10-19,,,
,,,,,2019-10-20,,,
,,,,,2019-10-26,,,
,,,,,2019-10-27,,,
,,,,,2019-11-02,,,
,,,,,2019-11-03,,,
,,,,,2019-11-09,,,
,,,,,2019-11-10,,,
,,,,,2019-11-16,,,
,,,,,2019-11-17,,,
,,,,,2019-11-23,,,
,,,,,2019-11-24,,,
,,,,,2019-11-30,,,
,,,,,2019-12-01,,,
,,,,,2019-12-07,,,
,,,,,2019-12-08,,,
,,,,,2019-12-14,,,
,,,,,2019-12-15,,,
,,,,,2019-12-21,,,
,,,,,2019-12-22,,,
,,,,,2019-12-28,,,
,,,,,2019-12-29,,,
,,,,,2020-01-04,,,
,,,,,2020-01-05,,,
,,,,,2020-01-11,,,
,,,,,2020-01-12,,,
,,,,,2020-01-18,,,
,,,,,2020-01-19,,,
,,,,,2020-01-25,,,
,,,,,2020-01-26,,,
,,,,,2020-02-01,,,
,,,,,2020-02-02,,,
,,,,,2020-02-08,,,
,,,,,2020-02-09,,,
,,,,,2020-02-15,,,
,,,,,2020-02-16,,,
,,,,,2020-02-22,,,
,,,,,2020-02-23,,,
,,,,,2020-02-29,,,
,,,,,2020-03-01,,,
,,,,,2020-03-07,,,
,,,,,2020-03-08,,,
,,,,,2020-03-14,,,
,,,,,2020-03-15,,,
,,,,,2020-03-21,,,
,,,,,2020-03-22,,,
,,,,,2020-03-28,,,
,,,,,2020-03-29,,,
,,,,,2020-04-04,,,
,,,,,2020-04-05,,,
,,,,,2020-04-11,,,
,,,,,2020-04-12,,,
,,,,,2020-04-18,,,
,,,,,2020-04-19,,,
,,,,,2020-04-25,,,
,,,,,2020-04-26,,,
,,,,,2020-05-02,,,
,,,,,2020-05-03,,,
,,,,,2020-05-09,,,
,,,,,2020-05-10,,,
,,,,,2020-05-16,,,
,,,,,2020-05-17,,,
,,,,,2020-05-23,,,
,,,,,2020-05-24,,,
,,,,,2020-05-30,,,
,,,,,2020-05-31,,,
,,,,,2020-06-06,,,
,,,,,2020-06-07,,,
,,,,,2020-06-13,,,
,,,,,2020-06-14,,,
,,,,,2020-06-20,,,
,,,,,2020-06-21,,,
,,,,,2020-06-27,,,
,,,,,2020-06-28,,,
,,,,,2020-07-04,,,
,,,,,2020-07-05,,,
,,,,,2020-07-11,,,
,,,,,2020-07-12,,,
,,,,,2020-07-18,,,
,,,,,2020-07-19,,,
,,,,,2020-07-25,,,
,,,,,2020-07-26,,,
,,,,,2020-08-01,,,
,,,,,2020-08-02,,,
,,,,,2020-08-08,,,
,,,,,2020-08-09,,,
,,,,,2020-08-15,,,
,,,,,2020-08-16,,,
,,,,,2020-08-22,,,
,,,,,2020-08-23,,,
,,,,,2020-08-29,,,
,,,,,2020-08-30,,,
,,,,,2020-09-05,,,
,,,,,2020-09-06,,,
,,,,,2020-09-12,,,
